houseid,homeown,hhvehcnt,hhsize,drvrcnt,wrkcount,numadlt,trpmiles,hhincttl,hhldtrips
13131632,2,2.0000,6.0000,4.0000,3.0000,4.0000,22.00,9,2
13134398,2,1.0000,4.0000,1.0000,1.0000,1.0000,59.11,12,19
13140166,1,2.0000,2.0000,2.0000,1.0000,2.0000,28.00,8,4
13154211,2,1.0000,4.0000,1.0000,1.0000,2.0000,5.00,2,9
13159823,1,1.0000,2.0000,1.0000,0.0000,2.0000,9.00,16,7
13167015,1,5.0000,2.0000,2.0000,2.0000,2.0000,100.00,18,8
13174835,2,3.0000,6.0000,2.0000,1.0000,2.0000,240.50,12,49
13175805,1,2.0000,4.0000,2.0000,2.0000,2.0000,41.00,6,12
13191038,1,2.0000,5.0000,2.0000,2.0000,3.0000,105.00,3,15
13198103,1,2.0000,1.0000,1.0000,0.0000,1.0000,56.00,3,3
13200471,1,3.0000,4.0000,2.0000,2.0000,2.0000,380.72,18,29
13212719,1,2.0000,2.0000,2.0000,2.0000,2.0000,101.00,12,11
13213958,2,2.0000,1.0000,1.0000,0.0000,1.0000,1.00,2,2
13217200,1,2.0000,5.0000,2.0000,2.0000,2.0000,20.00,12,24
13233134,1,1.0000,1.0000,1.0000,0.0000,1.0000,1.89,-7,4
13238951,1,4.0000,4.0000,4.0000,3.0000,3.0000,210.00,18,17
13244868,1,4.0000,2.0000,2.0000,0.0000,2.0000,23.50,-7,6
13250319,2,1.0000,1.0000,1.0000,1.0000,1.0000,152.17,2,7
13256834,1,3.0000,5.0000,2.0000,1.0000,2.0000,132.00,1,20
13268275,1,2.0000,2.0000,2.0000,0.0000,2.0000,21.00,-7,10
13268921,1,3.0000,2.0000,2.0000,2.0000,2.0000,2323.00,18,16
13273055,1,1.0000,4.0000,2.0000,1.0000,2.0000,394.00,6,29
13275134,1,2.0000,4.0000,2.0000,2.0000,2.0000,97.50,18,17
13275956,1,0.0000,1.0000,0.0000,0.0000,1.0000,1.00,3,2
13285124,1,2.0000,2.0000,2.0000,0.0000,2.0000,131.00,12,10
13295824,1,2.0000,3.0000,2.0000,2.0000,2.0000,100.00,13,8
13299699,1,3.0000,3.0000,3.0000,3.0000,3.0000,97.00,-8,15
13302713,1,2.0000,2.0000,2.0000,1.0000,2.0000,4.00,17,2
13307099,1,1.0000,1.0000,1.0000,1.0000,1.0000,5.11,6,4
13319618,1,2.0000,8.0000,2.0000,4.0000,4.0000,82.00,8,9
13320128,1,2.0000,3.0000,2.0000,2.0000,2.0000,40.00,18,15
13320678,1,3.0000,3.0000,3.0000,3.0000,3.0000,215.50,12,20
13339504,1,1.0000,2.0000,1.0000,1.0000,2.0000,16.00,6,4
13339698,2,1.0000,6.0000,2.0000,1.0000,2.0000,48.00,6,24
13341280,1,2.0000,4.0000,2.0000,1.0000,2.0000,346.22,6,22
13351298,1,2.0000,3.0000,3.0000,0.0000,3.0000,320.00,14,14
13358756,1,1.0000,1.0000,1.0000,1.0000,1.0000,94.00,8,4
13374877,1,1.0000,2.0000,2.0000,0.0000,2.0000,3.00,8,3
13384148,1,3.0000,2.0000,2.0000,1.0000,2.0000,115.00,9,9
13400972,1,1.0000,2.0000,2.0000,0.0000,2.0000,12.00,6,4
13415912,2,1.0000,2.0000,1.0000,1.0000,2.0000,4.00,6,6
13421137,1,1.0000,2.0000,2.0000,0.0000,2.0000,4.33,2,5
13440156,1,3.0000,3.0000,3.0000,2.0000,3.0000,39.00,15,9
13454818,2,1.0000,2.0000,2.0000,2.0000,2.0000,48.22,8,8
13466996,1,0.0000,3.0000,1.0000,1.0000,2.0000,158.00,6,5
13469139,1,4.0000,3.0000,3.0000,3.0000,3.0000,338.00,18,15
13470603,1,3.0000,5.0000,4.0000,3.0000,2.0000,66.00,13,14
13474535,2,1.0000,1.0000,1.0000,1.0000,1.0000,20.00,8,2
13479727,1,2.0000,2.0000,2.0000,0.0000,2.0000,2.00,8,2
13484860,2,2.0000,4.0000,3.0000,1.0000,2.0000,21.78,10,16
13491505,1,2.0000,4.0000,2.0000,1.0000,2.0000,120.50,14,22
13500461,1,2.0000,3.0000,3.0000,2.0000,3.0000,212.00,18,18
13506043,1,1.0000,2.0000,2.0000,0.0000,2.0000,56.44,7,14
13523778,1,2.0000,3.0000,3.0000,2.0000,2.0000,26.50,8,8
13529127,1,2.0000,6.0000,2.0000,1.0000,2.0000,382.00,12,41
13530637,1,1.0000,2.0000,1.0000,1.0000,2.0000,2.00,-7,2
13539313,1,1.0000,1.0000,1.0000,0.0000,1.0000,18.00,10,4
13543888,1,2.0000,1.0000,1.0000,0.0000,1.0000,28.00,10,5
13546768,1,3.0000,9.0000,4.0000,4.0000,4.0000,715.00,8,41
13553225,2,0.0000,3.0000,2.0000,1.0000,2.0000,34.50,10,12
13554428,1,0.0000,1.0000,0.0000,0.0000,1.0000,0.67,4,6
13562030,1,2.0000,5.0000,2.0000,2.0000,2.0000,45.00,16,17
13568041,1,1.0000,1.0000,1.0000,0.0000,1.0000,22.50,5,4
13573942,1,3.0000,6.0000,3.0000,1.0000,2.0000,-64.00,18,18
13578406,1,3.0000,4.0000,3.0000,2.0000,2.0000,33.50,17,24
14076851,1,2.0000,4.0000,2.0000,2.0000,2.0000,201.00,8,18
14079768,1,2.0000,2.0000,2.0000,1.0000,2.0000,600.00,12,2
14146400,2,1.0000,4.0000,2.0000,1.0000,2.0000,57.00,6,4
14157394,2,2.0000,2.0000,2.0000,2.0000,2.0000,59.00,4,7
